"FIFA World Cup Winners - Men [1930-2020]","","",""
"Year","FIFA World Cup Host 
Nations","FIFA World Cup Winner 
Countries","Runner Up 
Countries"
"1930","Uruguay","Uruguay","Argentina"
"1934","Italy","Italy","Czechoslovakia"
"1938","France","Italy","Hungary"
"1950","Brazil","Uruguay","Brazil"
"1954","Switzerland","West Germany","Hungary"
"1958","Sweden","Brazil","Sweden"
"1962","Chile","Brazil","Czechoslovakia"
"1966","England","England","West Germany"
"1970","Mexico","Brazil","Italy"
"1974","West Germany","West Germany","Netherlands"
"1978","Argentina","Argentina","Netherlands"
"1982","Spain","Italy","West Germany"
"1986","Mexico","Argentina","West Germany"
"1990","Italy","West Germany","Argentina"
"1994","USA","Brazil","Italy"
"1998","France","France","Brazil"
"2002","South Korea/Japan","Brazil","Germany"
"2006","Germany","Italy","France"
"2010","South Africa","Spain","Netherlands"
